iter	Logloss
0	0.6513101255
1	0.6199868221
2	0.5963787962
3	0.5748049202
4	0.5559713299
5	0.5439205335
6	0.5299161935
7	0.5217246395
8	0.5129758164
9	0.5056674556
10	0.4997120433
11	0.4953381688
12	0.4914129163
13	0.4876492698
14	0.4831984212
15	0.4792387945
16	0.4773340299
17	0.475342262
18	0.472912727
19	0.470987855
20	0.4688107448
21	0.4667501304
22	0.4632682063
23	0.461195789
24	0.4584867799
25	0.4565338524
26	0.454619194
27	0.4522809619
28	0.4509249743
29	0.4493602237
30	0.4477221421
31	0.4467888753
32	0.4456318664
33	0.4443470582
34	0.4430170559
35	0.441280397
36	0.4398117237
37	0.4388050802
38	0.4370920581
39	0.4358570362
40	0.4349331741
41	0.4340949245
42	0.4327440259
43	0.4319712428
44	0.4305470098
45	0.4290320909
46	0.4274894094
47	0.4263887638
48	0.4245183932
49	0.4233449584
50	0.4218125062
51	0.4209379353
52	0.4203654647
53	0.4196752772
54	0.4185328636
55	0.4173232844
56	0.4156281415
57	0.4146062386
58	0.4137004337
59	0.4126321299
60	0.4120118461
61	0.4112003236
62	0.4103333944
63	0.4091761322
64	0.4079595366
65	0.4070289592
66	0.4064610624
67	0.4056546338
68	0.4045657002
69	0.403451199
70	0.402505665
71	0.4014846294
72	0.4005697147
73	0.3997803554
74	0.3981453406
75	0.3969167591
76	0.39547384
77	0.3941348543
78	0.3934880832
79	0.3927067702
80	0.3921725644
81	0.3912633709
82	0.3903807665
83	0.3893213726
84	0.3882187759
85	0.3872438119
86	0.3861750937
87	0.3850734078
88	0.3839218888
89	0.3828913331
90	0.3814361711
91	0.3805466231
92	0.3796032257
93	0.3783532724
94	0.377454609
95	0.376615575
96	0.3754132805
97	0.3742734946
98	0.3734490576
99	0.3722809756
