iter	Passed	Remaining
0	64	6368
1	121	5973
2	179	5812
3	237	5694
4	308	5853
5	371	5822
6	430	5713
7	508	5844
8	619	6266
9	701	6317
10	792	6415
11	857	6288
12	927	6208
13	998	6136
14	1064	6034
15	1127	5918
16	1208	5898
17	1272	5796
18	1342	5724
19	1412	5650
20	1475	5552
21	1543	5471
22	1633	5468
23	1703	5394
24	1776	5328
25	1844	5250
26	1911	5168
27	1977	5085
28	2055	5032
29	2120	4946
30	2186	4866
31	2263	4810
32	2327	4725
33	2395	4649
34	2501	4645
35	2577	4581
36	2653	4518
37	2718	4435
38	2799	4378
39	2874	4311
40	2941	4232
41	3004	4148
42	3080	4083
43	3144	4001
44	3208	3921
45	3287	3859
46	3353	3781
47	3423	3708
48	3497	3640
49	3561	3561
50	3627	3485
51	3686	3402
52	3745	3321
53	3823	3256
54	3889	3181
55	3955	3108
56	4034	3043
57	4099	2968
58	4162	2892
59	4241	2827
60	4304	2752
61	4371	2679
62	4447	2611
63	4515	2539
64	4578	2465
65	4655	2398
66	4721	2325
67	4800	2258
68	4869	2187
69	4936	2115
70	5001	2042
71	5079	1975
72	5143	1902
73	5208	1829
74	5287	1762
75	5352	1690
76	5416	1617
77	5506	1553
78	5571	1480
79	5641	1410
80	5713	1340
81	5776	1267
82	5839	1196
83	5916	1127
84	5984	1056
85	6048	984
86	6124	915
87	6190	844
88	6254	773
89	6332	703
90	6396	632
91	6466	562
92	6543	492
93	6606	421
94	6670	351
95	6749	281
96	6813	210
97	6877	140
98	6956	70
99	7020	0
