name,lat,long,L,KM6
2,40.733034,-86.762233,342917,1
3,43.029635,-91.094895,974703,1
4,31.180215000000004,16.596037,215099,0
5,-28.657397999999997,-55.964951,568144,4
6,36.186751,-86.355754,695570,1
7,47.796114,-122.28291000000002,707350,1
8,33.577877,71.409199,991585,3
9,41.605594,-87.91004000000001,857192,1
10,44.383324,21.252032999999997,18226,0
11,51.633882,-3.968193,79124,0
12,40.834018,-73.997322,570462,1
13,41.698069,-74.38044000000001,316232,1
14,39.538160999999995,-83.4197,507879,1
15,19.242101,73.154111,289870,3
16,49.982001000000004,8.251541,987331,0
17,10.743668,121.92436200000002,81740,3
18,31.353199,-92.416,368605,1
19,33.158259,-102.281902,879555,1
20,34.972595,-80.13939599999999,321700,1
21,51.616369,-2.495535,345460,0
22,29.618606,-82.59716800000001,760810,1
23,42.736951,-105.394577,197827,1
24,27.755868,-97.36861800000001,735397,1
25,-8.705725,115.159397,777890,2
26,34.865644,114.360735,288165,3
27,56.11334,27.547673,794277,0
28,42.987689,-87.983209,585135,1
29,-8.43855,118.770968,878328,2
30,39.5559,32.135349,143472,0
31,26.024972,-80.127321,844048,1
32,41.828182,-87.77958199999999,415691,1
33,59.190977000000004,39.871474,897217,0
34,31.959940999999997,-83.73992700000001,272379,1
35,70.89800100000001,78.48625,748141,3
36,-22.083898,-70.191526,317146,4
37,42.974284999999995,-77.588514,115915,1
38,41.735032000000004,-87.695856,693394,1
39,61.955496,159.238325,898314,3
40,43.871045,77.04758000000001,602145,3
41,42.221106,21.26379,991557,0
42,-2.5926970000000003,112.92151299999999,861018,3
43,-15.247417,-40.247715,875239,4
44,47.106188,17.916854,272862,0
45,39.366439,-94.323081,912369,1
46,9.020489,-73.988415,893529,4
47,47.583923999999996,-65.649276,454396,1
48,30.240323999999998,19.218132999999998,452662,0
49,26.684196000000004,-80.754654,321145,1
50,41.339108,-89.19631,600055,1
51,38.23803,-85.66338,784704,1
52,14.677006,-86.253413,788378,1
53,26.771216,83.395445,315240,3
54,40.447609,-122.24861499999999,904293,1
55,39.945378999999996,-105.136848,265232,1
56,40.636871,-111.50445500000001,879374,1
57,41.127199,-73.901583,909301,1
58,-38.99181,-68.06473199999999,595744,4
59,31.584536,120.292452,779444,3
60,35.958232,-86.641755,900008,1
61,-41.743752,171.613748,469847,2
62,-34.567671999999995,-59.076682999999996,572427,4
63,-10.743644999999999,14.996260000000001,848340,5
64,52.340472999999996,-6.472548000000001,247423,0
65,33.331406,-96.774711,403603,1
66,60.483088,-151.080143,334507,1
67,-25.515511,-54.483191000000005,600053,4
68,-4.061849,-78.927419,515019,4
69,37.159634999999994,-113.65575,433347,1
70,40.024843,-105.104023,505799,1
71,52.19342,0.145523,447476,0
72,30.020651,-99.10251600000001,832562,1
73,-20.888393,55.416227,785073,5
74,48.439314,-89.298164,937351,1
75,32.979231,-117.00848400000001,632587,1
76,40.634431,-76.247517,2243755,1
77,-31.676789000000003,-64.400481,72003,4
78,6.969596000000001,126.19949,960137,3
79,12.443594000000001,-86.865287,999336,1
80,48.396256,9.97919,858428,0
81,-14.70086,-68.405546,117735,4
82,41.097296,108.261323,572617,3
83,8.152377,125.138361,568923,3
84,39.155387,127.45425,273223,3
85,51.49303,-0.224411,769588,0
86,40.307786,-79.36918,941470,1
87,51.966971,15.516373999999999,332338,0
88,6.161003,-1.6719939999999998,484625,5
89,67.202526,32.413477,247307,0
90,40.598456,-75.340473,381809,1
91,44.447109000000005,-73.195196,225469,1
92,-27.838102000000003,-54.417106000000004,149348,4
93,55.979265000000005,23.814467,731683,0
94,35.213365,-0.6254810000000001,713490,0
95,-37.014449,-73.14145400000001,853190,4
96,46.205546999999996,-1.185237,461759,0
97,42.221176,-83.210386,984091,1
98,27.357815999999996,86.086104,798153,3
99,-0.9430799999999999,-91.006732,686881,4
100,34.913786,-1.300905,168117,0
101,64.718164,177.70484,973671,3
102,-0.341129,35.306378,607400,5
103,9.351016,14.982954999999999,966872,5
104,41.975049,-88.081609,150101,1
105,39.419924,53.101854,201982,0
106,30.231801,-92.035436,210373,1
107,53.632328,72.33324499999999,365690,3
108,-6.331569,36.481086,544056,5
109,-31.348015999999998,115.915523,689838,2
110,51.286201,7.198772999999999,677691,0
111,41.127686,-80.681759,543560,1
112,43.476746,-70.453817,575126,1
113,61.676686,50.858601,547840,0
114,57.173903,26.768935,698177,0
115,46.705114,-122.94178899999999,936260,1
116,28.044415,-97.531309,554598,1
117,40.639367,-73.622789,548605,1
118,9.515528999999999,49.158634,986666,5
119,-5.361562,26.972457000000002,541634,5
120,19.831745,-90.481505,732410,1
121,-5.085632,38.502336,246191,5
122,16.745383,98.567125,283472,3
123,56.615759,57.739746999999994,226125,0
124,38.723175,-89.98921,215938,1
125,40.546362,-111.980942,82031,1
126,18.134560999999998,100.163677,142810,3
127,-5.087744,-81.143996,675798,4
128,47.745357,-122.28881200000001,104285,1
129,46.378609000000004,125.34471699999999,675687,3
130,-15.023848999999998,-57.20715,880647,4
131,42.274265,21.015539999999998,325652,0
132,44.830403999999994,-87.36458,256722,1
133,-21.236678,-45.004601,929677,4
134,36.078227000000005,-79.521178,340391,1
135,25.852167,-80.140378,974022,1
136,32.923312,-87.187724,907393,1
137,33.568774,-84.395779,617724,1
138,11.818703,-86.195673,989033,1
139,9.186297999999999,105.13546399999998,426708,3
140,62.561845999999996,165.313176,106751,3
141,27.193742999999998,56.267251,39599,0
142,-1.481973,29.627796000000004,194333,5
143,34.139463,-118.01286999999999,964309,1
144,46.095906,23.588345,78228,0
145,10.333467,9.849222,876430,5
146,56.035853,-5.42111,943883,0
147,45.544446,-122.34528999999999,840450,1
148,29.700445000000002,-95.428078,217210,1
149,33.728412,-117.32407099999999,697116,1
150,-3.3079620000000003,17.381788,447834,5
151,42.257334,-83.187004,77113,1
152,36.760643,68.83500699999999,2104444,3
153,-0.678906,34.762679,282997,5
154,40.340578,-79.625089,66238,1
155,41.90619,-87.799828,173939,1
156,38.313579,-82.962938,234855,1
157,54.594818000000004,-1.273834,844123,0
158,-0.318193,100.361325,93276,3
159,-20.732341,143.14298200000002,321218,2
160,38.228905,-86.11774100000001,319640,1
161,18.510103,99.06251800000001,511275,3
162,34.866486,-117.040594,918916,1
163,43.315052,68.245928,414488,3
164,46.301790000000004,15.609963,204206,0
165,47.67125,-117.22100800000001,50303,1
166,54.631591,83.315735,478857,3
167,40.594035,-124.176189,146482,1
168,1.802788,-78.843513,633304,4
169,12.06724,124.580238,950379,3
170,-36.03325,146.93175300000001,572660,2
171,43.638135,21.877948999999997,962048,0
172,36.379411,-105.588132,141383,1
173,48.70635,21.276286,521206,0
174,-20.384466,-40.315645,64801,4
175,34.572055999999996,-117.44651699999999,406519,1
176,10.359342,77.998729,259981,3
177,47.222597,-88.408292,859737,1
178,39.643725,46.550697,71741,0
179,33.174085,-91.980827,722911,1
180,47.049587,9.516533,920728,0
181,40.082775,124.40010500000001,98827,3
182,35.537113,-77.058351,205101,1
183,1.6026040000000001,11.578235000000001,16089,5
184,45.734703,14.634297,770357,0
185,41.619147999999996,-87.605739,354789,1
186,40.768221000000004,-85.841507,190865,1
187,34.368609,108.70074,75437,3
188,27.862226,102.314382,820402,3
189,-22.548156,-55.783263,128700,4
190,43.71338,-98.04718299999999,339366,1
191,40.850509,-74.070502,803574,1
192,-22.061845,-70.184296,751446,4
193,42.653971000000006,-88.03963900000001,34258,1
194,5.71445,19.110495,77603,5
195,51.46014,0.170709,762737,0
196,39.982802,-86.389964,930935,1
197,68.807906,49.318107,134698,0
198,-9.964653,-67.814724,205390,4
199,-29.189791999999997,-67.495599,950942,4
200,45.688326,-110.558181,586749,1
201,53.449456999999995,-2.703481,376049,0
202,54.602461,-5.971413,426768,0
203,56.087540000000004,86.049782,324366,3
204,46.718039000000005,-122.937626,474522,1
205,28.476478999999998,30.777053999999996,963272,0
206,20.735463,70.99884499999999,758739,3
207,52.74515600000001,-2.102569,141815,0
208,41.523359,-87.451318,90027,1
209,20.510738,-13.055306,629355,5
210,41.527454999999996,-87.64323900000001,952697,1
211,56.25048100000001,34.325573999999996,975192,0
212,28.963095000000003,-96.64665,159118,1
213,-9.089265,-78.567975,252703,4
214,-29.163308,-67.482066,4451,4
215,38.553529,-122.58356100000002,626639,1
216,40.448957,-104.938253,421017,1
217,56.013739,-5.45805,486693,0
218,41.034593,-74.142999,573410,1
219,40.944765000000004,-73.75383199999999,148875,1
220,51.835475,143.179009,710342,3
221,43.331174,21.856308,827472,0
222,38.341644,34.017934000000004,186673,0
223,33.866137,-84.01865600000001,394986,1
224,38.068067,-83.95634799999999,164167,1
225,-2.569665,-44.073575,228776,4
226,47.499246,9.771486,366844,0
227,52.015753000000004,-0.725234,605666,0
228,54.981648,73.415798,3752753,3
229,40.519795,-104.69888900000001,624045,1
230,34.498527,69.177295,351037,3
231,-6.295982,-57.6078,784604,4
232,20.021575,42.625236,626324,5
233,36.959377,-121.956593,215963,1
234,39.732302000000004,140.096507,657461,3
235,26.108493,-80.248003,907895,1
236,34.013346000000006,-118.196285,565986,1
237,41.085806,-74.164305,380112,1
238,51.612312,-0.275393,392361,0
239,39.777365,-8.813851,632108,0
240,37.357108000000004,-122.078323,974,1
241,42.142737,-87.970632,224985,1
242,40.824366,-74.283582,351344,1
243,13.830685,20.809444,842276,5
244,44.627032,-88.089525,329575,1
245,60.809129000000006,46.307986,794456,0
246,46.0444,20.029888,912658,0
247,64.059919,-139.410589,746082,1
248,38.628634999999996,-90.346726,49506,1
249,31.166755,35.691032,408121,0
250,45.69668,-110.562013,524522,1
251,29.493571999999997,55.751002,330055,0
252,42.421149,-88.20282399999999,17332,1
253,31.419106,30.391896999999997,245339,0
254,43.212431,-79.80675500000001,244108,1
255,3.347689,20.898305999999998,397908,5
256,44.381457,21.402469,27041,0
257,36.27673,-76.21250400000001,106091,1
258,47.887412,125.315575,12850,3
259,37.946661,-122.08848700000001,822808,1
260,-29.340281,27.488752,380874,5
261,71.70756999999999,83.554735,241370,3
262,34.664851,50.909482000000004,924326,0
263,-41.069655,145.916713,69128,2
264,40.067399,-77.521777,912706,1
265,31.038216,30.483438,535170,0
266,11.576552000000001,-14.997638,348303,5
267,41.395607,128.173676,334440,3
268,35.900349,14.567857,105115,0
269,22.288223000000002,113.54513200000001,413206,3
270,40.932578,24.397094,427646,0
271,-7.811832000000001,-35.282816,26387,4
272,-3.4731379999999996,29.93238,958911,5
273,10.471351,-73.271529,85141,4
274,39.808291,-86.21109100000001,575808,1
275,-7.635886,111.50998500000001,316161,2
276,39.142926,-84.46635500000001,442330,1
277,30.321067,-81.450071,929188,1
278,53.275546999999996,-6.160786,717339,0
279,47.905099,-122.23671599999999,375966,1
280,-38.336075,141.621305,597218,2
281,48.377623,-119.53883799999998,312846,1
282,47.70852,128.903702,692083,3
283,46.544632,16.198507,481139,0
284,-23.610076,-48.031031,346005,4
285,32.538218,111.460474,862314,3
286,30.743047999999998,-87.890361,535832,1
287,42.949844,-74.199865,345330,1
